StoreID,StoreName,Disabled,Abbreviation,ManagerEmployeeID,ManagerCommissionable,Address,City,StateProv,ZipPostal,Country,PhoneNumber,FaxNumber,DistrictName,RegionName,ChannelName,StoreType,GLCode,SquareFootage,LocationCode,Latitude,Longitude,AddressVerified,TimeZone,AdjustDST,CashPolicy,MaxCashDrawer,Serial_on_OE,Phone_on_OE,PAW_on_OE,Comment_on_OE,HideCustomerAddress,EmailAddress,GeneralLocationNotes,SaleInvoiceComment,StaffLevel,BankDetails,Taxes,LeaseStartDate,LeaseEndDate,Rent,PropertyTaxes,InsuranceAmount,OtherCharges,DepositTaken,LeaseNotes,InsuranceCompany,LandlordNotes,LandlordName,RelocationDate,UseLocationEmail,LocationEntityID,DateLastStatusChanged
1408,2006 Central Point,0,2006O,284,FALSE,1350 Plaza Blvd Suite A,Central Point,OR,97502,United States,5416642775,,Oregon South,OR/CA Region,West Market,5 Tier-PPP,2006,0,V3RK4,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9am-8pm, Sun 10am-6pm",,,,$.75 E911 Fee (OR),,,0,0,0,0,0,11/1/2015 0:00,,,SPRING - CENTRAL POINT/60957709,,TRUE,67913,2015-10-06T08:57:11.55
1466,2017 Klamath Falls,0,2017O,284,FALSE,3430 Washburn Way Suite A,Klamath Falls,OR,97603,United States,5418841064,,Oregon South,OR/CA Region,West Market,5 Tier-PPP,2017,0,DIYXZ,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9am-8pm, Sun 11am-6pm",,,,$.75 E911 Fee (OR),,,0,0,0,0,0,11/1/2015,,,SPRING - KLAMATH FALLS/60957712,,TRUE,67914,2015-10-06T09:16:30.81
1453,2045 Camas,0,2045W,284,FALSE,3415 SE 192nd Ave Suite 110,Vancouver,WA,98683,United States,3602538114,,Portland/Vancouver,OR/CA Region,West Market,5 Tier-PPP,2045,0,KZULJ,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun 11am-6pm",,,,"$.95 E911 Fee (WA), WA - Sales Tax 8.4%",,,0,0,0,0,0,11/1/2015,,,SPRING - SE 192ND AVE/61220640,,TRUE,67930,2015-10-06T09:09:13.07
1781,2170 Oakwood Mall,0,2170W,268,FALSE,4800 Golf Rd Space ID 710,Eau Claire,WI,54701,United States,7155988480,,Wisconsin West,Northern Plains Region,Central Market,5 Tier-PPP,2170,0,6AYMM,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-9pm, Sun 11am-6pm",,,,"$.38 E911 Fee (WI), WI - Sales Tax 5.5%",,,0,0,0,0,0,6/1/2016,,,,,TRUE,87762,2016-05-15T21:05:44.927
1534,1766 Bristow,0,1766V,168,FALSE,10290 Bristow Center Dr,Bristow,VA,20136,United States,7032574144,,Manassas,Atlantic Region,Northeast Market,5 Tier-PPP,1766,0,WKYOM,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Closed Sunday",,,,"$.50 E911 Fee (VA), VA - Sales Tax 6%",,,0,0,0,0,0,11/1/2015,,,SPRING - BRISTOW/60144758,,TRUE,68004,2015-10-09T10:17:43
1517,1765 Bealeton,0,1765V,168,FALSE,11083 Marsh Rd,Bealeton,VA,22712,United States,5404393800,,Manassas,Atlantic Region,Northeast Market,5 Tier-PPP,1765,0,E8NKC,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,FALSE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 11am-6pm",,,,"VA - Sales Tax 5.30%, $.50 E911 Fee (VA)",,,0,0,0,0,0,11/1/2015,,,SPRING - BEALETON/60144755,,TRUE,67978,2015-10-08T11:23:05.477
1519,1767 Lake Ridge,0,1767V,168,FALSE,12423 Hedges Run Dr,Lake Ridge,VA,22192,United States,7034998878,,Arlington,Atlantic Region,Northeast Market,5 Tier-PPP,1767,0,BTETG,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Closed Sunday",,,,"$.50 E911 Fee (VA), VA - Sales Tax 6%",,,0,0,0,0,0,11/1/2015,,,SPRING - LAKE RIDGE/60943099,,TRUE,84673,2015-10-08T13:23:52.493
1094,1511 Oakhurst,0,1511C,284,FALSE,40208 Hwy 41 Suite C,Oakhurst,CA,93644,United States,5596424321,,Central Valley South,Central California Region,West Market,5 Tier-PPP,1511,0,2BJU3,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 11am-5pm",,,,"CA - Sales Tax 7.75%, 5.9% E911 Fee (CA)",,,0,0,0,0,0,8/1/2015,,,SPRING - OAKHURST/60274494,,TRUE,59693,2015-07-10T08:54:04.88
2072,2487 Lake Nona,0,2487F,284,FALSE,13832 Narcoossee Rd Unit 103,ORLANDO,FL,32832,United States,4078567979,,Orlando,Florida Region,South Market,5 Tier-PPP,2487,0,57KZB,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun 11am-6pm",,,,"$.40 E911 Fee (FL), FL - Sales Tax 6.5%",,,0,0,0,0,0,8/1/2016 0:00,,,,,TRUE,98679,2016-07-14T15:07:49.75
399,1064 Phillipsburg,0,1064N,395,FALSE,756-768 Memorial Pkwy,Phillipsburg,NJ,8865,United States,9083879366,,New Jersey South,NYNJ Region,Northeast Market,5 Tier-PPP,1064,0,NCOJ7,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun Closed",,,,NJ - Sales Tax 6.875%,,,0,0,0,0,0,,,SPRING COMMUNICATIONS - PHILLIPSBURG/61218656,SPRING COMMUNICATIONS - PHILLIPSBURG/61218656,,TRUE,84752,
